,train_loss,valid_loss,train_acc,valid_acc,train_auc,valid_auc
0,1.4673941954214573,0.8906136908524231,0.4784881864623244,0.7163875598086125,0.9063719373922201,0.9626654981152105
1,0.7592494758410898,0.5063758747756075,0.7339359833971902,0.8492822966507177,0.9690980951437951,0.9813112967983417
2,0.539600692810909,0.43766795470897385,0.8141662675606641,0.8634768740031898,0.9824681362734058,0.9873103232794954
3,0.4377703344716801,0.3442954169556939,0.8450570721583652,0.8948165869218501,0.9876005500884522,0.9909978117392051
4,0.3715612567307555,0.38478780187573897,0.8641343390804598,0.8665470494417863,0.9907431704702886,0.991823988756496
5,0.3311616248162981,0.2668700633879157,0.8767061781609196,0.9138755980861244,0.9923175065006984,0.993250910847444
6,0.30435764133695875,0.31120000679636867,0.8847980523627076,0.8954944178628389,0.9933046846362839,0.9937133355038728
7,0.2777630186718642,0.24633596817968623,0.8942867975734355,0.9198564593301436,0.9941855682678126,0.9942022866621515
8,0.2583225740109857,0.2222681359674394,0.9003532088122606,0.9236044657097289,0.9948509809108536,0.9948073546643452
9,0.24404256493709864,0.20982136954641004,0.9061003352490421,0.9281897926634769,0.9953989512471385,0.9948860581854123
10,0.22783495618142974,0.20189308462706335,0.9118873722860792,0.9300239234449761,0.9957447915348541,0.9953920712694159
11,0.21895783054472898,0.22586819516276838,0.9170957056194126,0.9211722488038278,0.9961032929419721,0.9956646156969169
12,0.20887394528639167,0.2097141510752441,0.9201189335887612,0.9288676236044657,0.9964664370131959,0.9957658203727717
13,0.19960718236757485,0.23954513198167351,0.924878272669221,0.9160287081339713,0.9967377705694849,0.9957162322389103
14,0.19292820742424324,0.19268539126185588,0.9268538473818646,0.932615629984051,0.9968540104253013,0.9960340689045131
15,0.1816132210075585,0.17064143490120107,0.9310245051085568,0.9407894736842105,0.9972054943436325,0.9966206634507002
16,0.17966357773514577,0.16783292931615684,0.9310843710089399,0.9397527910685806,0.9972432045916604,0.9964806229055914
17,0.17406283123276048,0.17080847100731308,0.9339479565772669,0.937200956937799,0.9974163870370476,0.9964076800751493
18,0.17167504931527114,0.1650073097749021,0.9354146711366539,0.9395933014354066,0.9974685213324987,0.9967557456590953
19,0.1647296839301817,0.1902935503484765,0.9376596424010217,0.9333333333333333,0.9976206554680469,0.9966003724915212
20,0.16336042504896314,0.1655038249759626,0.9388769157088123,0.9389553429027113,0.9976712693903071,0.9962341984822477
21,0.1554686161394047,0.14762333513525255,0.9422194284802043,0.9483652312599681,0.9977383196380366,0.9968535117124836
22,0.15465625479572098,0.15935652536263192,0.9419799648786717,0.9401913875598086,0.9978948123024702,0.9969081719965033
