,train_loss,valid_loss,train_acc,valid_acc,train_auc,valid_auc
5,0.3928118807445496,0.3606291634209414,0.8563318167305236,0.884170653907496,0.9899832999485619,0.9887542423800626
6,0.36280613362112435,0.34801345593101657,0.8667784163473818,0.8890749601275917,0.9910493743118816,0.9891259608310348
7,0.33396903073458384,0.30363127824468017,0.8759378991060025,0.9003987240829346,0.9921283727085969,0.9912548032413439
8,0.3104577190197788,0.284662484063554,0.8853168901660281,0.9068181818181819,0.992943076367089,0.9913716458039273
9,0.2922118852403308,0.29536754612936766,0.8900063856960408,0.9038277511961722,0.9934869442392756,0.9911846247783377
10,0.281645739187315,0.26732831569071697,0.8946360153256705,0.910805422647528,0.9939301023795739,0.9919525226877308
11,0.2644689597672927,0.34370380952395246,0.9012112867177522,0.8831738437001595,0.9944930510522934,0.992565618301977
12,0.25738899937737786,0.29216308164983296,0.902348738825032,0.9080143540669856,0.9948057315477964,0.9927125676134395
13,0.2517165609273333,0.2251849059711874,0.9045837324393359,0.9209728867623604,0.9949631639000164,0.9914002550331209
14,0.24302603083283741,0.2479654385209582,0.9086745689655172,0.9180622009569378,0.9951862368298525,0.9938023851994051
15,0.2358341871851238,0.2304280558224063,0.9103907247765006,0.9195773524720893,0.9954291170709968,0.9938472101501722
16,0.23008818648127366,0.24239759341991002,0.9129849137931034,0.914712918660287,0.9956217430395116,0.9931461138623879
17,0.22503374825652975,0.2082874970516855,0.9153595945083014,0.9270733652312599,0.9957748020636497,0.9929502889185617
18,0.22353065702741362,0.25812793081545343,0.9155591475095786,0.9165869218500797,0.9958736812636264,0.9934708401409073
19,0.2134564540837358,0.2047882487217756,0.9195402298850575,0.9263556618819777,0.9962800578471339,0.9940518703981971
20,0.20454272213350053,0.1831250997395364,0.9232519157088123,0.9328548644338118,0.9965506065795254,0.9944353945878301
21,0.20542371554224967,0.214756110614559,0.9238106641123882,0.9198165869218501,0.9963929548268735,0.9945779022769679
22,0.198757108816298,0.18932969523283835,0.9259359035759898,0.9336921850079745,0.9965848843633099,0.9942177269002875
23,0.19716073453962127,0.2078755359807418,0.9267241379310345,0.9236842105263158,0.9968170629518024,0.9937086773368586
24,0.19408534385192883,0.24737427055731165,0.9286298690932312,0.9167464114832536,0.9967569307798319,0.9937056169750387
25,0.19282264856022566,0.17642771895264742,0.9289990421455939,0.935207336523126,0.996863245614454,0.994034621021545
26,0.18760005621222414,0.22898794205635903,0.9313138569604087,0.9207735247208931,0.9969395829337312,0.9940349906705632
27,0.18940115347825923,0.20263907163122338,0.930595466155811,0.925079744816587,0.996938487657963,0.9948496632609436
28,0.18132465482431173,0.19323430869059097,0.9334091634738186,0.9288676236044657,0.997199518922305,0.994982168070923
29,0.18088318499018594,0.19682022860899015,0.9344867496807152,0.9248405103668261,0.99722336376988,0.9940846001186961
30,0.17691537308252636,0.1808970961206131,0.9352250957854407,0.9352472089314194,0.9972738142869151,0.994886337972528
31,0.17054495753081272,0.17557711904980214,0.9370510057471264,0.9347288676236045,0.9974808355843375,0.9946352028681469
32,0.17896180983142126,0.2049998891869938,0.9345565932311622,0.9243620414673046,0.9972589587855638,0.9943052822433573
33,0.17037947706801904,0.1637166622088335,0.937639687100894,0.9395135566188197,0.9974083261305523,0.9944973285238081
34,0.17178339060249864,0.1698570132782706,0.9375997765006385,0.9383572567783094,0.9974087898170004,0.9925177902152803
35,0.16856191021201736,0.20055339830309807,0.9387771392081737,0.9267942583732057,0.997537838830951,0.9951304185952802
36,0.16463497709953745,0.17390122393991297,0.9395653735632183,0.9374003189792663,0.9976172018404053,0.994091141662583
37,0.16483323646950257,0.1694852370956755,0.9385077426564495,0.9399122807017544,0.9976438404398922,0.9952245611465588
38,0.16051346442737774,0.23146438191201535,0.9406629150702427,0.917384370015949,0.9977975177999853,0.9926163597347002
39,0.15981662499900925,0.22204655196795123,0.9411717752234994,0.9267942583732057,0.9977499287618422,0.9931865012005692
40,0.15941830699563808,0.17497254074308385,0.942249361430396,0.9354864433811803,0.9977391007429284,0.9942927240309342
41,0.1564801080690893,0.17754363654118702,0.9428879310344828,0.9356459330143541,0.9978620717718101,0.9954625678652851
42,0.15695705888311645,0.16939106503283197,0.9427382662835249,0.9400717703349283,0.9977930956393126,0.9949248345366798
43,0.15690430002262484,0.16187162858544205,0.942448914431673,0.9419457735247209,0.9977445580326899,0.9951800553944898
44,0.1520156136080463,0.16689526258644027,0.9452027458492975,0.9413476874003189,0.9979123359583091,0.9946601583428809
45,0.1497539601505213,0.14752281316855678,0.9448036398467433,0.9457336523125996,0.998006226652974,0.9948847976484716
46,0.14934499136024335,0.1773970940968991,0.945871248403576,0.9374800637958532,0.9979933696474076,0.9935157507422728
47,0.14937659970359468,0.15611321540694376,0.9463401979565773,0.9475279106858054,0.9980173427975183,0.9949201871594999
48,0.14757460842181844,0.17054742259894115,0.9460708014048531,0.9394338118022328,0.9980057066637008,0.9944309959263129
49,0.1473264063667996,0.18939541013374905,0.9466993933588761,0.9334928229665072,0.9980165364389872,0.9945896684019027
50,0.14010417329065544,0.17787391755244575,0.9491339399744572,0.9364035087719298,0.9982332200275951,0.9951767085634332
51,0.14420107673355978,0.15993757464600641,0.9480962643678161,0.943939393939394,0.9981071959502442,0.9951665671612533
52,0.14390162597289874,0.19566544630435462,0.9475774265644955,0.936244019138756,0.9981598054620637,0.9950899625501939
53,0.14255955024119288,0.15255035532471334,0.9494931353767561,0.9440191387559809,0.9982124201809249,0.9956876022543141
54,0.13911305661266854,0.1820294893367758,0.9494432471264368,0.9323365231259968,0.9982354171860247,0.9937164081060176
55,0.13978192948916057,0.19839252002921162,0.9495729565772669,0.9317384370015949,0.9982249560889213,0.9951975422063084
