,train_loss,valid_loss,train_acc,valid_acc,train_auc,valid_auc
0,1.4897881398917063,0.8735068809975465,0.46923890485312897,0.7196969696969697,0.9025720394906434,0.962668597103078
1,0.7468639335144212,0.4789702747418715,0.7414691091954023,0.8402711323763955,0.970019699243382,0.9818194738191249
2,0.5404416842151493,0.44348029798962924,0.8087883141762452,0.8657097288676237,0.9820865380314499,0.9867568302910259
3,0.460125553269195,0.342475201535375,0.8344208971902938,0.890390749601276,0.9865982440752397,0.9901432783052864
4,0.38973132774441593,0.3196636553228715,0.8564216155810983,0.894896331738437,0.9900122527218603,0.9918566277444727
5,0.33270320144938653,0.25450760389007726,0.874720625798212,0.9149122807017543,0.9922726914829992,0.993403199221821
6,0.310645986259768,0.3071617561015741,0.8822936621966795,0.892902711323764,0.9930119464967094,0.9937863281848567
7,0.2827083680966901,0.23033852633973007,0.8919620051085568,0.9234848484848485,0.993928951833918,0.9938520176070788
8,0.26011697542891016,0.22886409469889002,0.8987667624521073,0.9220494417862839,0.9946575791558318,0.9948097082860486
9,0.24717606872685702,0.23044271981560863,0.9028975095785441,0.9202153110047847,0.9950721168340273,0.9946205203751578
10,0.2337290422970578,0.21582090303888818,0.9085548371647509,0.9262360446570973,0.9955581629769804,0.995115904329423
11,0.21784225165777615,0.24985054625412684,0.9141522988505747,0.9149521531100478,0.9960502811088066,0.9949967585483325
12,0.2124666371884916,0.19956075856163738,0.9173850574712644,0.929585326953748,0.9962700827958587,0.995351098348737
13,0.2082556180621222,0.18839302523787121,0.9186322637292464,0.9313397129186602,0.9963183192056277,0.9958395734351917
14,0.19998298818799634,0.1976558252111618,0.9228029214559387,0.9345295055821372,0.9966205556358911,0.9958431213346004
15,0.1924350288072155,0.19594887120494175,0.9253172892720306,0.9315789473684211,0.9968389848510514,0.9962324550090493
16,0.1866366004076493,0.17577549978628043,0.9278117017879949,0.936244019138756,0.9969543272929638,0.9956655671476291
17,0.1798632215255945,0.14593668619914932,0.9311043263090677,0.9470095693779904,0.9971908383157344,0.9967851610733863
18,0.17830807178154454,0.16642070106537443,0.9316530970625798,0.9394736842105263,0.9972512008809011,0.996298892166239
19,0.17146117261842908,0.1500362847004517,0.9344468390804598,0.944896331738437,0.9974291499462323,0.996554034257966
20,0.1620886968689734,0.1482939075377227,0.9375798212005109,0.9445374800637959,0.9976164865711525,0.9967749453200525
21,0.16403982953527274,0.21677388991574462,0.937220625798212,0.9271132376395534,0.9975677541156506,0.9953690021696201
22,0.1592046673864605,0.16456327751358452,0.9392660440613027,0.9394338118022328,0.9976988666744775,0.9965704046721482
23,0.15850244860674417,0.13547479208527946,0.9402737867177522,0.9483253588516747,0.9978171860395387,0.9967665847027961
24,0.15341304395249877,0.15063176114624602,0.9422094508301405,0.9429027113237639,0.9978782310847092,0.9970374898128946
25,0.15199736489440263,0.14541044015885465,0.9428081098339719,0.9468102073365231,0.9979166288332184,0.9970244645216767
26,0.14938942443890466,0.16122139674300814,0.9428979086845466,0.9393540669856459,0.99797404964955,0.9967608810871521
27,0.14905018444415669,0.1532277307642753,0.9435863665389528,0.9431818181818182,0.9979877193688508,0.9968538893525887
28,0.14376961946788644,0.12460175729179859,0.9452127234993615,0.9529904306220096,0.9981019289282086,0.9970629700321413
29,0.14127252637824358,0.13566312361851662,0.9469588122605364,0.9499601275917066,0.9981919147602684,0.9967860898153893
30,0.1390857489114107,0.15027465955138875,0.9479166666666666,0.9450956937799043,0.9982409156804354,0.9968207782610373
31,0.1352105574594461,0.15267265917140338,0.9481162196679438,0.9419457735247209,0.9983318059250811,0.9966087209770728
32,0.13940928496885083,0.15350057851523677,0.9471882982120051,0.939792663476874,0.9982401172071556,0.9969072209986911
33,0.13269683233227428,0.12537561440500342,0.9490840517241379,0.9531897926634769,0.998383791808438,0.9975036928234696
